Constellation,Type,ID,Remarks,RA,DEC,Mag,Size,Class
AND,GAL,205,M110,00 40.4,+41 41,8.1,19.5,E6         
AND,Star Cloud,206,Great Star Cloud in Andromeda Galaxy,00 40.5,+40 44,12.8,4.2,STARCLOUD
AND,GAL,221,M32,00 42.7,+40 52,8.1,8.5,E2         
AND,GAL,224,M31 ANDROMEDA GALAXY,00 42.7,+41 16,3.5,210,SB
AND,GAL,404,MIRACH'S GHOST,01 09.4,+35 43,10.3,4.3,E0         
AND,GAL,891,UGC 1831/The Silver Sliver Galaxy        ,02 22.6,+42 21,9.9,13.1,Sb         
AND,PN,7662,Blue Snowball,23 25.9,+42 32,8.6,0.28,4(3)       
AQL,OC,6709,OCL  100          ,18 51.5,+10 20,6.7,15,III 2 m    
AQL,OC,6755,OCL   96          ,19 07.8,+04 16,7.5,15,IV 2 m     
AQL,OC,6756,OCL   99          ,19 08.7,+04 42,10.6,4,I 2 m      
AQL,PN,6781,"GHOST OF THE MOON, The Snowglobe/HORSESHOE/EAGLE'S NEST",19 18.5,+06 32,11.8,1.9,3b(3)      
AQL,PN,6804,SNOWBALL NEBULA,19 31.6,+09 14,12.4,1.05,4(2)       
AQR,GC,6981,M72,20 53.5,-12 32,9.2,6.6,IX         
AQR,PN,7009,SATURN NEBULA,21 04.2,-11 22,8.3,0.47,4(6)       
AQR,GC,7089,M2,21 33.5,-00 49,6.6,16,II         
AQR,PN,7293,The Helix Nebula/The Sunflower Nebula,22 29.6,-20 50,6.3,16,4(3)       
AQR,GAL,7606,MCG - 2-59- 12    ,23 19.1,-08 29,10.8,4.2,Sbc        
ARI,GAL,772,FIDDLEHEAD GALAXY,01 59.3,+19 00,10.3,7.5,Sb         
ARI,GAL,877,UGC 1768         ,02 18.0,+14 33,11.9,2.4,SBbc       
ARI,GAL,972,UGC 2045         ,02 34.2,+29 19,11.4,3.3,Sab        
AUR,OC,1664,OCL  411          ,04 51.1,+43 41,7.6,18,III 1 p    
